Processes: 407 total, 2 running, 1 stuck, 404 sleeping, 2456 threads 
2021/10/12 23:10:17
Load Avg: 2.18, 2.36, 2.43 
CPU usage: 6.49% user, 18.83% sys, 74.67% idle 
SharedLibs: 179M resident, 34M data, 7968K linkedit.
MemRegions: 173935 total, 1375M resident, 93M private, 991M shared.
PhysMem: 7472M used (1639M wired), 69M unused.
VM: 142T vsize, 3272M framework vsize, 2493065(0) swapins, 2877040(0) swapouts.
Networks: packets: 3112051/3026M in, 2024636/279M out.
Disks: 4352116/147G read, 975924/54G written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG CMPRS PGRP PPID STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW   MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
7713  photolibraryd    0.0  00:00.13 2     1   44     2609K 0B   2288K 7713 1    sleeping *0[4]       0.00000 0.00000    501 1144     97    177      50       850      351      563       441     1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7712  sandboxd         0.0  00:00.04 4     3   30     2193K 0B   1760K 7712 1    sleeping *0[1]       0.00000 0.00000    0   869      66    122      34       1571     258      525       40      4     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
7711  tccd             0.0  00:00.47 2     1   63     5426K 0B   4944K 7711 1    sleeping *0[47]      0.00000 0.00000    501 4738     75    1259     415      13953    2465     1597      90      1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7704  vcxpc            0.0  00:00.23 5     1   112    5834K 0B   21M   7704 1    sleeping *0[3]       0.00000 0.00000    501 6386     214   2020     856      3275     2104     1655      1181    1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7703  mobileassetd     0.0  00:00.30 2     1   47     7298K 0B   6896K 7703 1    sleeping *0[2]       0.00000 0.00000    0   1767     86    187      55       3452     372      710       121     1     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
7664  WirelessRadioMan 0.0  00:00.08 2     1   52     2401K 0B   2128K 7664 1    sleeping *0[1]       0.00000 0.00000    0   822      78    256      100      1032     417      351       189     0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
7661  keybagd          0.0  00:00.02 2     1   33     1713K 0B   1472K 7661 1    sleeping *0[1]       0.00000 0.00000    0   379      54    97       35       510      190      105       20      0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
7604  MTLCompilerServi 0.0  00:00.11 2     1   32     16M   0B   16M   7604 1    sleeping *0[5]       0.00000 0.00000    501 2323     76    148      41       1030     329      248       23      0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7603  MTLCompilerServi 0.0  00:00.17 2     1   32     16M   0B   15M   7603 1    sleeping *0[7]       0.00000 0.00000    501 3084     76    161      44       1099     343      621       681     0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7579  com.apple.WebKit 0.0  00:00.12 3     1   88     10M   0B   8752K 7579 1    sleeping  0[3]       0.00000 0.00000    501 5385     180   8578     3667     5583     7028     1608      39      1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
